Chr	Start	End	Peak.ID	Peak.Label	Focus.Ratio.Region.Size	Annotation	Detailed.Annotation	Distance.to.TSS	Nearest.PromoterID	Entrez.ID	Nearest.Unigene	Nearest.Refseq	Nearest.Ensembl	Gene.Name	Gene.Alias	Gene.Description	Gene.Type
chr10	32524419	32525182	Htt_PeakRegion_05315	WT-specific	NA	intron (ENSMUST00000191234, intron 1 of 6)	-intron (ENSMUST00000191234, intron 1 of 6)	-114466	ENSMUST00000092603	ENSMUSG00000069670	ENSMUST00000191234	NA	ENSMUSG00000069670	Nkain2	NA	Na+/K+ transporting ATPase interacting 2 [Source:MGI Symbol;Acc:MGI:1923447]	protein_coding
chr10	32786504	32787246	Htt_PeakRegion_05318	WT-specific	NA	intron (ENSMUST00000191234, intron 1 of 6)	-intron (ENSMUST00000191234, intron 1 of 6)	103586	ENSMUST00000191234	ENSMUSG00000069670	ENSMUST00000191234	NA	ENSMUSG00000069670	Nkain2	NA	Na+/K+ transporting ATPase interacting 2 [Source:MGI Symbol;Acc:MGI:1923447]	protein_coding
chr10	33399963	33400357	Htt_PeakRegion_05319	mHTT-specific	NA	intron (ENSMUST00000095762, intron 23 of 37)	-intron (ENSMUST00000095762, intron 23 of 37)	224036	ENSMUST00000159533	ENSMUSG00000019785	ENSMUST00000159533	NA	ENSMUSG00000019785	Clvs2	NA	clavesin 2 [Source:MGI Symbol;Acc:MGI:2443223]	protein_coding
chr10	35901438	35901443	Htt_PeakRegion_05320	mHTT-specific	NA	Intergenic	Intergenic	-189550	ENSMUST00000080898	ENSMUSG00000063953	ENSMUST00000080898	NA	ENSMUSG00000063953	Amd2	NA	S-adenosylmethionine decarboxylase 2 [Source:MGI Symbol;Acc:MGI:1333111]	protein_coding
chr10	36487862	36488004	Htt_PeakRegion_05321	WT-specific	NA	Intergenic	Intergenic	-18881	ENSMUST00000167191	ENSMUSG00000044499	ENSMUST00000167191	NA	ENSMUSG00000044499	Hs3st5	NA	heparan sulfate (glucosamine) 3-O-sulfotransferase 5 [Source:MGI Symbol;Acc:MGI:2441996]	protein_coding
chr10	38548626	38548731	Htt_PeakRegion_05322	mHTT-specific	NA	Intergenic	Intergenic	66802	ENSMUST00000177920	ENSMUSG00000094521	ENSMUST00000177920	NA	ENSMUSG00000094521	Gm22911	NA	predicted gene, 22911 [Source:MGI Symbol;Acc:MGI:5452688]	snRNA
chr10	39261226	39261505	Htt_PeakRegion_05323	mHTT-specific	NA	Intergenic	Intergenic	-97572	ENSMUST00000076713	ENSMUSG00000062074	ENSMUST00000076713	NA	ENSMUSG00000062074	Ccn6	NA	cellular communication network factor 6 [Source:MGI Symbol;Acc:MGI:2685581]	protein_coding
chr10	39699895	39700060	Htt_PeakRegion_05325	WT-specific	NA	intron (ENSMUST00000155482, intron 1 of 1)	-intron (ENSMUST00000129191, intron 1 of 3)	28203	ENSMUST00000136862	ENSMUSG00000087177	ENSMUST00000133302	NA	ENSMUSG00000087177	E130307A14Rik	NA	RIKEN cDNA E130307A14 gene [Source:MGI Symbol;Acc:MGI:3036287]	antisense
chr10	39803789	39803859	Htt_PeakRegion_05327	WT-specific	NA	intron (ENSMUST00000164763, intron 6 of 32)	-intron (ENSMUST00000019986, intron 5 of 31)	-21307	ENSMUST00000139803	ENSMUSG00000019841	ENSMUST00000145333	NA	ENSMUSG00000019841	Rev3l	NA	REV3 like, DNA directed polymerase zeta catalytic subunit [Source:MGI Symbol;Acc:MGI:1337131]	protein_coding
chr10	39837016	39837559	Htt_PeakRegion_05328	mHTT-specific	NA	intron (ENSMUST00000164763, intron 19 of 32)	-intron (ENSMUST00000019986, intron 18 of 31)	9014	ENSMUST00000145333	ENSMUSG00000019841	ENSMUST00000145333	NA	ENSMUSG00000019841	Rev3l	NA	REV3 like, DNA directed polymerase zeta catalytic subunit [Source:MGI Symbol;Acc:MGI:1337131]	protein_coding
chr10	39848606	39849256	Htt_PeakRegion_05330	WT-specific	NA	intron (ENSMUST00000164763, intron 25 of 32)	-intron (ENSMUST00000019986, intron 24 of 31)	-9994	ENSMUST00000123103	ENSMUSG00000019841	ENSMUST00000145333	NA	ENSMUSG00000019841	Rev3l	NA	REV3 like, DNA directed polymerase zeta catalytic subunit [Source:MGI Symbol;Acc:MGI:1337131]	protein_coding
chr10	40138987	40139003	Htt_PeakRegion_05331	mHTT-specific	NA	intron (ENSMUST00000092566, intron 1 of 5)	-intron (ENSMUST00000092566, intron 1 of 5)	3259	ENSMUST00000092566	ENSMUSG00000019838	ENSMUST00000092566	NA	ENSMUSG00000019838	Slc16a10	NA	solute carrier family 16 (monocarboxylic acid transporters), member 10 [Source:MGI Symbol;Acc:MGI:1919722]	protein_coding
chr10	40353383	40353885	Htt_PeakRegion_05332	WT-specific	NA	intron (ENSMUST00000095743, intron 1 of 11)	-intron (ENSMUST00000044672, intron 1 of 12)	-3531	ENSMUST00000143103	ENSMUSG00000038491	ENSMUST00000143103	NA	ENSMUSG00000038491	Cdk19os	NA	cyclin-dependent kinase 19, opposite strand [Source:MGI Symbol;Acc:MGI:1914837]	antisense
chr10	40479954	40481414	Htt_PeakRegion_05335	WT-specific	NA	exon (ENSMUST00000044672, exon 13 of 13)	-exon (ENSMUST00000044672, exon 13 of 13)	-89652	ENSMUST00000078314	ENSMUSG00000019834	ENSMUST00000078314	NA	ENSMUSG00000019834	Slc22a16	NA	solute carrier family 22 (organic cation transporter), member 16 [Source:MGI Symbol;Acc:MGI:1918090]	protein_coding
chr10	40686369	40686569	Htt_PeakRegion_05337	WT-specific	NA	intron (ENSMUST00000058747, intron 1 of 4)	-intron (ENSMUST00000058747, intron 1 of 4)	3187	ENSMUST00000058747	ENSMUSG00000045555	ENSMUST00000058747	NA	ENSMUSG00000045555	Mettl24	NA	methyltransferase like 24 [Source:MGI Symbol;Acc:MGI:3045338]	protein_coding
chr10	40694444	40694633	Htt_PeakRegion_05338	WT-specific	NA	intron (ENSMUST00000058747, intron 1 of 4)	-intron (ENSMUST00000058747, intron 1 of 4)	11257	ENSMUST00000058747	ENSMUSG00000045555	ENSMUST00000058747	NA	ENSMUSG00000045555	Mettl24	NA	methyltransferase like 24 [Source:MGI Symbol;Acc:MGI:3045338]	protein_coding
chr10	40865270	40865366	Htt_PeakRegion_05340	WT-specific	NA	intron (ENSMUST00000044166, intron 2 of 14)	-intron (ENSMUST00000044166, intron 2 of 14)	10564	ENSMUST00000158561	ENSMUSG00000089186	ENSMUST00000158561	NA	ENSMUSG00000089186	Gm22948	NA	predicted gene, 22948 [Source:MGI Symbol;Acc:MGI:5452725]	misc_RNA
chr10	40867029	40867452	Htt_PeakRegion_05341	WT-specific	NA	intron (ENSMUST00000044166, intron 2 of 14)	-intron (ENSMUST00000044166, intron 2 of 14)	8641	ENSMUST00000158561	ENSMUSG00000089186	ENSMUST00000158561	NA	ENSMUSG00000089186	Gm22948	NA	predicted gene, 22948 [Source:MGI Symbol;Acc:MGI:5452725]	misc_RNA
chr10	40884640	40886488	Htt_PeakRegion_05343	WT-specific	NA	intron (ENSMUST00000105509, intron 1 of 8)	-intron (ENSMUST00000019975, intron 1 of 8)	1737	ENSMUST00000105509	ENSMUSG00000019831	ENSMUST00000105509	NA	ENSMUSG00000019831	Wasf1	NA	WAS protein family, member 1 [Source:MGI Symbol;Acc:MGI:1890563]	protein_coding
chr10	40915566	40916414	Htt_PeakRegion_05345	WT-specific	NA	intron (ENSMUST00000105509, intron 1 of 8)	-intron (ENSMUST00000019975, intron 1 of 8)	32163	ENSMUST00000105509	ENSMUSG00000019831	ENSMUST00000105509	NA	ENSMUSG00000019831	Wasf1	NA	WAS protein family, member 1 [Source:MGI Symbol;Acc:MGI:1890563]	protein_coding
chr10	40917462	40918894	Htt_PeakRegion_05346	WT-specific	NA	intron (ENSMUST00000105509, intron 1 of 8)	-intron (ENSMUST00000019975, intron 1 of 8)	34351	ENSMUST00000105509	ENSMUSG00000019831	ENSMUST00000105509	NA	ENSMUSG00000019831	Wasf1	NA	WAS protein family, member 1 [Source:MGI Symbol;Acc:MGI:1890563]	protein_coding
chr10	41303325	41304429	Htt_PeakRegion_05348	WT-specific	NA	promoter-TSS (ENSMUST00000043814)	-promoter-TSS (ENSMUST00000043814)	-103	ENSMUST00000173517	ENSMUSG00000091415	ENSMUST00000173517	NA	ENSMUSG00000091415	Ak9	NA	adenylate kinase 9 [Source:MGI Symbol;Acc:MGI:2685080]	protein_coding
chr10	41821973	41824544	Htt_PeakRegion_05349	WT-specific	NA	intron (ENSMUST00000099931, intron 1 of 9)	-intron (ENSMUST00000099931, intron 1 of 9)	12685	ENSMUST00000099931	ENSMUSG00000038332	ENSMUST00000099931	NA	ENSMUSG00000038332	Sesn1	NA	sestrin 1 [Source:MGI Symbol;Acc:MGI:2155278]	protein_coding
chr10	45481228	45481532	Htt_PeakRegion_05354	WT-specific	NA	Intergenic	Intergenic	-11179	ENSMUST00000079390	ENSMUSG00000063804	ENSMUST00000079390	NA	ENSMUSG00000063804	Lin28b	NA	lin-28 homolog B (C. elegans) [Source:MGI Symbol;Acc:MGI:3584032]	protein_coding
chr10	45709089	45709277	Htt_PeakRegion_05355	WT-specific	NA	exon (ENSMUST00000155368, exon 4 of 5)	-exon (ENSMUST00000155368, exon 4 of 5)	32066	ENSMUST00000155368	ENSMUSG00000038822	ENSMUST00000131568	NA	ENSMUSG00000038822	Hace1	NA	HECT domain and ankyrin repeat containing, E3 ubiquitin protein ligase 1 [Source:MGI Symbol;Acc:MGI:2446110]	protein_coding
chr10	46255471	46255651	Htt_PeakRegion_05356	mHTT-specific	NA	Intergenic	Intergenic	-122048	ENSMUST00000180247	ENSMUSG00000094681	ENSMUST00000180247	NA	ENSMUSG00000094681	Gm25740	NA	predicted gene, 25740 [Source:MGI Symbol;Acc:MGI:5455517]	snRNA
chr10	47037830	47038004	Htt_PeakRegion_05357	mHTT-specific	NA	Intergenic	Intergenic	-199410	ENSMUST00000083784	ENSMUSG00000065718	ENSMUST00000083784	NA	ENSMUSG00000065718	Gm25650	NA	predicted gene, 25650 [Source:MGI Symbol;Acc:MGI:5455427]	snRNA
chr10	48773449	48773454	Htt_PeakRegion_05358	WT-specific	NA	Intergenic	Intergenic	-154057	ENSMUST00000083696	ENSMUSG00000065630	ENSMUST00000083696	NA	ENSMUSG00000065630	Gm24256	NA	predicted gene, 24256 [Source:MGI Symbol;Acc:MGI:5454033]	snRNA
chr10	49370192	49370683	Htt_PeakRegion_05359	WT-specific	NA	intron (ENSMUST00000105487, intron 10 of 16)	-intron (ENSMUST00000079751, intron 9 of 15)	-127402	ENSMUST00000147808	ENSMUSG00000056073	ENSMUST00000105483	NA	ENSMUSG00000056073	Grik2	NA	glutamate receptor, ionotropic, kainate 2 (beta 2) [Source:MGI Symbol;Acc:MGI:95815]	protein_coding
chr10	50894571	50900470	Htt_PeakRegion_05362	WT-mHTT-shared	NA	intron (ENSMUST00000020071, intron 1 of 10)	-intron (ENSMUST00000020071, intron 1 of 10)	1870	ENSMUST00000020071	ENSMUSG00000019913	ENSMUST00000020071	NA	ENSMUSG00000019913	Sim1	NA	single-minded family bHLH transcription factor 1 [Source:MGI Symbol;Acc:MGI:98306]	protein_coding
chr10	50901074	50904391	Htt_PeakRegion_05363	WT-mHTT-shared	NA	intron (ENSMUST00000020071, intron 1 of 10)	-intron (ENSMUST00000020071, intron 1 of 10)	7082	ENSMUST00000020071	ENSMUSG00000019913	ENSMUST00000020071	NA	ENSMUSG00000019913	Sim1	NA	single-minded family bHLH transcription factor 1 [Source:MGI Symbol;Acc:MGI:98306]	protein_coding
chr10	53354544	53354962	Htt_PeakRegion_05366	mHTT-specific	NA	intron (ENSMUST00000095691, intron 2 of 12)	-intron (ENSMUST00000095691, intron 2 of 12)	17067	ENSMUST00000046221	ENSMUSG00000038583	ENSMUST00000046221	NA	ENSMUSG00000038583	Pln	NA	phospholamban [Source:MGI Symbol;Acc:MGI:97622]	protein_coding
chr10	57014041	57014046	Htt_PeakRegion_05369	mHTT-specific	NA	Intergenic	Intergenic	-159986	ENSMUST00000157628	ENSMUSG00000088253	ENSMUST00000157628	NA	ENSMUSG00000088253	Gm24285	NA	predicted gene, 24285 [Source:MGI Symbol;Acc:MGI:5454062]	snRNA
chr10	57606054	57606299	Htt_PeakRegion_05370	WT-specific	NA	Intergenic	Intergenic	4784	ENSMUST00000177147	ENSMUSG00000093406	ENSMUST00000177147	NA	ENSMUSG00000093406	Rpl48-ps1	NA	ribosomal protein L48, pseudogene 1 [Source:MGI Symbol;Acc:MGI:3644204]	processed_pseudogene
chr10	58692774	58693022	Htt_PeakRegion_05374	WT-specific	NA	Intergenic	Intergenic	-11097	ENSMUST00000167536	ENSMUSG00000091526	ENSMUST00000167536	NA	ENSMUSG00000091526	BB019430	NA	expressed sequence BB019430 [Source:MGI Symbol;Acc:MGI:2143891]	lincRNA
chr10	58740573	58741192	Htt_PeakRegion_05375	WT-specific	NA	Intergenic	Intergenic	-22673	ENSMUST00000169859	ENSMUSG00000091731	ENSMUST00000169859	NA	ENSMUSG00000091731	Gm17542	NA	predicted gene, 17542 [Source:MGI Symbol;Acc:MGI:4937176]	protein_coding
chr10	59040829	59041007	Htt_PeakRegion_05377	WT-specific	NA	intron (ENSMUST00000153031, intron 3 of 9)	-intron (ENSMUST00000135526, intron 3 of 3)	-24733	ENSMUST00000148267	ENSMUSG00000037990	ENSMUST00000135526	NA	ENSMUSG00000037990	Sh3rf3	NA	SH3 domain containing ring finger 3 [Source:MGI Symbol;Acc:MGI:2444637]	protein_coding
chr10	59696215	59696517	Htt_PeakRegion_05378	WT-specific	NA	Intergenic	Intergenic	-6111	ENSMUST00000165563	ENSMUSG00000020111	ENSMUST00000167612	NA	ENSMUSG00000020111	Micu1	NA	mitochondrial calcium uptake 1 [Source:MGI Symbol;Acc:MGI:2384909]	protein_coding
chr10	59950242	59950834	Htt_PeakRegion_05380	WT-specific	NA	exon (ENSMUST00000020308, exon 3 of 3)	-exon (ENSMUST00000020308, exon 3 of 3)	1232	ENSMUST00000020308	ENSMUSG00000020108	ENSMUST00000020308	NA	ENSMUSG00000020108	Ddit4	NA	DNA-damage-inducible transcript 4 [Source:MGI Symbol;Acc:MGI:1921997]	protein_coding
chr10	59951621	59952296	Htt_PeakRegion_05381	WT-specific	NA	promoter-TSS (ENSMUST00000020308)	-promoter-TSS (ENSMUST00000020308)	-189	ENSMUST00000020308	ENSMUSG00000020108	ENSMUST00000020308	NA	ENSMUSG00000020108	Ddit4	NA	DNA-damage-inducible transcript 4 [Source:MGI Symbol;Acc:MGI:1921997]	protein_coding
chr10	61477190	61477343	Htt_PeakRegion_05387	WT-specific	NA	promoter-TSS (ENSMUST00000051330)	-promoter-TSS (ENSMUST00000051330)	-330	ENSMUST00000051330	ENSMUSG00000043126	ENSMUST00000051330	NA	ENSMUSG00000043126	D830039M14Rik	NA	RIKEN cDNA D830039M14 gene [Source:MGI Symbol;Acc:MGI:2445111]	antisense
chr10	62433290	62433392	Htt_PeakRegion_05388	WT-specific	NA	promoter-TSS (ENSMUST00000161941)	-promoter-TSS (ENSMUST00000161941)	-214	ENSMUST00000161941	ENSMUSG00000020079	ENSMUST00000159042	NA	ENSMUSG00000020079	Supv3l1	NA	suppressor of var1, 3-like 1 (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:2441711]	protein_coding
chr10	62801640	62801812	Htt_PeakRegion_05392	WT-specific	NA	Intergenic	Intergenic	-9358	ENSMUST00000020268	ENSMUSG00000020074	ENSMUST00000020268	NA	ENSMUSG00000020074	Ccar1	NA	cell division cycle and apoptosis regulator 1 [Source:MGI Symbol;Acc:MGI:1914750]	protein_coding
chr10	62802726	62802820	Htt_PeakRegion_05393	WT-specific	NA	Intergenic	Intergenic	-10405	ENSMUST00000020268	ENSMUSG00000020074	ENSMUST00000020268	NA	ENSMUSG00000020074	Ccar1	NA	cell division cycle and apoptosis regulator 1 [Source:MGI Symbol;Acc:MGI:1914750]	protein_coding
chr10	62816003	62816338	Htt_PeakRegion_05394	WT-specific	NA	intron (ENSMUST00000174189, intron 10 of 12)	-intron (ENSMUST00000050826, intron 8 of 10)	-1630	ENSMUST00000173905	ENSMUSG00000047146	ENSMUST00000050826	NA	ENSMUSG00000047146	Tet1	NA	tet methylcytosine dioxygenase 1 [Source:MGI Symbol;Acc:MGI:1098693]	protein_coding
chr10	62951842	62951846	Htt_PeakRegion_05396	WT-specific	NA	intron (ENSMUST00000131422, intron 3 of 20)	-intron (ENSMUST00000092462, intron 3 of 20)	4734	ENSMUST00000129785	ENSMUSG00000036875	ENSMUST00000131715	NA	ENSMUSG00000036875	Dna2	NA	DNA replication helicase/nuclease 2 [Source:MGI Symbol;Acc:MGI:2443732]	protein_coding
chr10	67116501	67116581	Htt_PeakRegion_05401	WT-specific	NA	intron (ENSMUST00000174317, intron 1 of 9)	-intron (ENSMUST00000173295, intron 1 of 1)	-10717	ENSMUST00000051446	ENSMUSG00000037876	ENSMUST00000173661	NA	ENSMUSG00000037876	Jmjd1c	NA	jumonji domain containing 1C [Source:MGI Symbol;Acc:MGI:1918614]	protein_coding
chr10	67124407	67126116	Htt_PeakRegion_05402	WT-specific	NA	intron (ENSMUST00000174317, intron 1 of 9)	-intron (ENSMUST00000173295, intron 1 of 1)	-1996	ENSMUST00000051446	ENSMUSG00000037876	ENSMUST00000173661	NA	ENSMUSG00000037876	Jmjd1c	NA	jumonji domain containing 1C [Source:MGI Symbol;Acc:MGI:1918614]	protein_coding
chr10	69526414	69526428	Htt_PeakRegion_05407	mHTT-specific	NA	Intergenic	Intergenic	-7351	ENSMUST00000182194	ENSMUSG00000069601	ENSMUST00000182194	NA	ENSMUSG00000069601	Ank3	NA	ankyrin 3, epithelial [Source:MGI Symbol;Acc:MGI:88026]	protein_coding
chr10	69857352	69857775	Htt_PeakRegion_05408	WT-specific	NA	intron (ENSMUST00000183169, intron 8 of 45)	-intron (ENSMUST00000047061, intron 1 of 16)	-40567	ENSMUST00000182972	ENSMUSG00000069601	ENSMUST00000182194	NA	ENSMUSG00000069601	Ank3	NA	ankyrin 3, epithelial [Source:MGI Symbol;Acc:MGI:88026]	protein_coding
chr10	70005747	70006188	Htt_PeakRegion_05409	WT-specific	NA	intron (ENSMUST00000183023, intron 6 of 7)	-intron (ENSMUST00000047061, intron 16 of 16)	11665	ENSMUST00000183001	ENSMUSG00000069601	ENSMUST00000182194	NA	ENSMUSG00000069601	Ank3	NA	ankyrin 3, epithelial [Source:MGI Symbol;Acc:MGI:88026]	protein_coding
chr10	70024418	70028155	Htt_PeakRegion_05410	WT-specific	NA	exon (ENSMUST00000182884, exon 43 of 43)	-exon (ENSMUST00000182884, exon 43 of 43)	31984	ENSMUST00000183001	ENSMUSG00000069601	ENSMUST00000182194	NA	ENSMUSG00000069601	Ank3	NA	ankyrin 3, epithelial [Source:MGI Symbol;Acc:MGI:88026]	protein_coding
chr10	70392100	70392124	Htt_PeakRegion_05412	WT-specific	NA	Intergenic	Intergenic	-48556	ENSMUST00000105436	ENSMUSG00000043259	ENSMUST00000173042	NA	ENSMUSG00000043259	Fam13c	NA	family with sequence similarity 13, member C [Source:MGI Symbol;Acc:MGI:1918971]	protein_coding
chr10	70603024	70603242	Htt_PeakRegion_05414	WT-specific	NA	intron (ENSMUST00000162571, intron 5 of 5)	-intron (ENSMUST00000161687, intron 3 of 3)	-3842	ENSMUST00000046513	ENSMUSG00000037747	ENSMUST00000162470	NA	ENSMUSG00000037747	Phyhipl	NA	phytanoyl-CoA hydroxylase interacting protein-like [Source:MGI Symbol;Acc:MGI:1918161]	protein_coding
chr10	71246850	71247002	Htt_PeakRegion_05416	mHTT-specific	NA	Intergenic	Intergenic	-8646	ENSMUST00000092430	ENSMUSG00000003923	ENSMUST00000121685	NA	ENSMUSG00000003923	Tfam	NA	transcription factor A, mitochondrial [Source:MGI Symbol;Acc:MGI:107810]	protein_coding
chr10	71260188	71261250	Htt_PeakRegion_05417	WT-specific	NA	exon (ENSMUST00000144231, exon 3 of 4)	-exon (ENSMUST00000144231, exon 3 of 4)	-3831	ENSMUST00000144636	ENSMUSG00000019927	ENSMUST00000144636	NA	ENSMUSG00000019927	Ube2d1	NA	ubiquitin-conjugating enzyme E2D 1 [Source:MGI Symbol;Acc:MGI:2384911]	protein_coding
chr10	75236933	75237453	Htt_PeakRegion_05421	mHTT-specific	NA	intron (ENSMUST00000105421, intron 2 of 15)	-intron (ENSMUST00000040105, intron 2 of 15)	7338	ENSMUST00000040105	ENSMUSG00000033444	ENSMUST00000040105	NA	ENSMUSG00000033444	Specc1l	NA	sperm antigen with calponin homology and coiled-coil domains 1-like [Source:MGI Symbol;Acc:MGI:1921642]	protein_coding
chr10	75325250	75332252	Htt_PeakRegion_05423	WT-specific	NA	intron (ENSMUST00000105420, intron 2 of 2)	-intron (ENSMUST00000105420, intron 2 of 2)	11808	ENSMUST00000105420	ENSMUSG00000020178	ENSMUST00000105420	NA	ENSMUSG00000020178	Adora2a	NA	adenosine A2a receptor [Source:MGI Symbol;Acc:MGI:99402]	protein_coding
chr10	75587140	75587204	Htt_PeakRegion_05424	WT-specific	NA	TTS (ENSMUST00000006508)	-TTS (ENSMUST00000006508)	2067	ENSMUST00000156487	ENSMUSG00000006345	ENSMUST00000145079	NA	ENSMUSG00000006345	Ggt1	NA	gamma-glutamyltransferase 1 [Source:MGI Symbol;Acc:MGI:95706]	protein_coding
chr10	75824421	75824612	Htt_PeakRegion_05425	WT-specific	NA	Intergenic	Intergenic	-1974	ENSMUST00000160211	ENSMUSG00000009093	ENSMUST00000160211	NA	ENSMUSG00000009093	Gstt4	NA	glutathione S-transferase, theta 4 [Source:MGI Symbol;Acc:MGI:1923136]	protein_coding
chr10	76087487	76088719	Htt_PeakRegion_05426	WT-specific	NA	intron (ENSMUST00000120757, intron 7 of 14)	-intron (ENSMUST00000120757, intron 7 of 14)	9486	ENSMUST00000124320	ENSMUSG00000086798	ENSMUST00000124320	NA	ENSMUSG00000086798	Gm16222	NA	predicted gene 16222 [Source:MGI Symbol;Acc:MGI:3801901]	antisense
chr10	76965202	76965212	Htt_PeakRegion_05429	WT-specific	NA	Intergenic	Intergenic	-3320	ENSMUST00000105411	ENSMUSG00000001120	ENSMUST00000001148	NA	ENSMUSG00000001120	Pcbp3	NA	poly(rC) binding protein 3 [Source:MGI Symbol;Acc:MGI:1890470]	protein_coding
chr10	77394658	77394874	Htt_PeakRegion_05430	WT-specific	NA	intron (ENSMUST00000105406, intron 1 of 11)	-intron (ENSMUST00000020496, intron 1 of 10)	23088	ENSMUST00000150512	ENSMUSG00000020262	ENSMUST00000105406	NA	ENSMUSG00000020262	Adarb1	NA	adenosine deaminase, RNA-specific, B1 [Source:MGI Symbol;Acc:MGI:891999]	protein_coding
chr10	78011337	78012043	Htt_PeakRegion_05433	WT-specific	NA	Intergenic	Intergenic	-1607	ENSMUST00000145716	ENSMUSG00000020277	ENSMUST00000149271	NA	ENSMUSG00000020277	Pfkl	NA	phosphofructokinase, liver, B-type [Source:MGI Symbol;Acc:MGI:97547]	protein_coding
chr10	79688836	79692433	Htt_PeakRegion_05435	WT-specific	NA	intron (ENSMUST00000020549, intron 1 of 4)	-intron (ENSMUST00000020549, intron 1 of 4)	1615	ENSMUST00000020549	ENSMUSG00000054206	ENSMUST00000020549	NA	ENSMUSG00000054206	Gzmm	NA	granzyme M (lymphocyte met-ase 1) [Source:MGI Symbol;Acc:MGI:99549]	protein_coding
chr10	79711174	79716238	Htt_PeakRegion_05436	WT-specific	NA	Intergenic	Intergenic	-2928	ENSMUST00000099513	ENSMUSG00000020331	ENSMUST00000020581	NA	ENSMUSG00000020331	Hcn2	NA	hyperpolarization-activated, cyclic nucleotide-gated K+ 2 [Source:MGI Symbol;Acc:MGI:1298210]	protein_coding
chr10	79766952	79767593	Htt_PeakRegion_05440	WT-specific	NA	promoter-TSS (ENSMUST00000047203)	-promoter-TSS (ENSMUST00000047203)	-321	ENSMUST00000047203	ENSMUSG00000035890	ENSMUST00000047203	NA	ENSMUSG00000035890	Rnf126	NA	ring finger protein 126 [Source:MGI Symbol;Acc:MGI:1917544]	protein_coding
chr10	79768275	79770750	Htt_PeakRegion_05441	WT-specific	NA	Intergenic	Intergenic	-2561	ENSMUST00000047203	ENSMUSG00000035890	ENSMUST00000047203	NA	ENSMUSG00000035890	Rnf126	NA	ring finger protein 126 [Source:MGI Symbol;Acc:MGI:1917544]	protein_coding
chr10	79837199	79839980	Htt_PeakRegion_05443	WT-mHTT-shared	NA	Intergenic	Intergenic	-15837	ENSMUST00000172282	ENSMUSG00000006498	ENSMUST00000169091	NA	ENSMUSG00000006498	Ptbp1	NA	polypyrimidine tract binding protein 1 [Source:MGI Symbol;Acc:MGI:97791]	protein_coding
chr10	79841781	79843133	Htt_PeakRegion_05444	WT-specific	NA	Intergenic	Intergenic	-11970	ENSMUST00000172282	ENSMUSG00000006498	ENSMUST00000169091	NA	ENSMUSG00000006498	Ptbp1	NA	polypyrimidine tract binding protein 1 [Source:MGI Symbol;Acc:MGI:97791]	protein_coding
chr10	79855599	79855699	Htt_PeakRegion_05446	WT-specific	NA	promoter-TSS (ENSMUST00000168521)	-promoter-TSS (ENSMUST00000168521)	611	ENSMUST00000168683	ENSMUSG00000006498	ENSMUST00000169091	NA	ENSMUSG00000006498	Ptbp1	NA	polypyrimidine tract binding protein 1 [Source:MGI Symbol;Acc:MGI:97791]	protein_coding
chr10	79881518	79881736	Htt_PeakRegion_05448	WT-specific	NA	promoter-TSS (ENSMUST00000171489)	-promoter-TSS (ENSMUST00000171489)	-156	ENSMUST00000171489	ENSMUSG00000057729	ENSMUST00000171489	NA	ENSMUSG00000057729	Prtn3	NA	proteinase 3 [Source:MGI Symbol;Acc:MGI:893580]	protein_coding
chr10	79884950	79885376	Htt_PeakRegion_05449	WT-specific	NA	Intergenic	Intergenic	-1149	ENSMUST00000046091	ENSMUSG00000020125	ENSMUST00000046091	NA	ENSMUSG00000020125	Elane	NA	elastase, neutrophil expressed [Source:MGI Symbol;Acc:MGI:2679229]	protein_coding
chr10	79899585	79899992	Htt_PeakRegion_05450	mHTT-specific	NA	promoter-TSS (ENSMUST00000170375)	-promoter-TSS (ENSMUST00000170375)	-104	ENSMUST00000170375	ENSMUSG00000013833	ENSMUST00000165684	NA	ENSMUSG00000013833	Med16	NA	mediator complex subunit 16 [Source:MGI Symbol;Acc:MGI:2158394]	protein_coding
chr10	79980163	79980535	Htt_PeakRegion_05452	WT-specific	NA	intron (ENSMUST00000124536, intron 1 of 9)	-intron (ENSMUST00000052885, intron 1 of 10)	-1409	ENSMUST00000126383	ENSMUSG00000013858	ENSMUST00000124536	NA	ENSMUSG00000013858	Tmem259	NA	transmembrane protein 259 [Source:MGI Symbol;Acc:MGI:2177957]	protein_coding
chr10	80104463	80104517	Htt_PeakRegion_05455	mHTT-specific	NA	Intergenic	Intergenic	-1792	ENSMUST00000042771	ENSMUSG00000035673	ENSMUST00000042771	NA	ENSMUSG00000035673	Sbno2	NA	strawberry notch 2 [Source:MGI Symbol;Acc:MGI:2448490]	protein_coding
chr10	80127360	80132782	Htt_PeakRegion_05457	WT-specific	NA	TTS (ENSMUST00000105369)	-TTS (ENSMUST00000105369)	3389	ENSMUST00000152592	ENSMUSG00000003068	ENSMUST00000128992	NA	ENSMUSG00000003068	Stk11	NA	serine/threonine kinase 11 [Source:MGI Symbol;Acc:MGI:1341870]	protein_coding
